"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"53","MacKenzie Gore","22201","WSN","Nationals",8.6922,10.013,27.54,27.54,0,0,NA,151.754,652.705,139.02,75.9521,70.6665,21.3636,159.054,64.747,NA,5.531,4.19099,1.34275,9.43293,3.83992,2.45654,1.267,0.243684,0.099198,0.14448593556881,0.401759,0.238691,0.29267,0.735168,4.37826,2.18909,2.48188,NA,NA,NA,11.9792,267.429992675781,24,"NL","22201",""
"54","Marcus Stroman","13431","NYY","Yankees",11.0126,9.2557,29.16,29.16,0,0,NA,169.939,728.728,171.34,82.9437,75.8183,20.2039,143.87,54.0811,NA,6.3006,4.01534,1.32648,7.61935,2.86414,2.66026,1.07,0.197426,0.074213,0.123213052749634,0.509675,0.256365,0.299712,0.722739,4.17335,2.17233,2.28008,NA,NA,NA,14.753,260.109985351562,9,"AL","13431",""
"55","Braxton Garrett","21844","MIA","Marlins",8.3139,8.3433,24.3,24.3,0,0,NA,136.993,581.464,136.126,65.8744,60.6295,16.2413,126.4,38.315,NA,7.6398,3.98317,1.27336,8.30411,2.51718,3.29898,1.067,0.217383,0.065894,0.151488833129406,0.4737,0.254198,0.305152,0.71565,3.95727,2.15749,2.34887,NA,NA,NA,11.6282,240.089996337891,20,"NL","21844",""
"56","Griffin Canning","19867","LAA","Angels",8.9518,8.6988,25.92,25.92,0,0,NA,144.233,611.677,136.973,72.2918,67.4278,21.8914,147.017,47.8637,NA,5.6996,4.20742,1.28151,9.1737,2.98664,3.07158,1.366,0.240351,0.07825,0.162100911140442,0.400359,0.245422,0.295685,0.729917,4.30365,2.13992,2.30486,NA,NA,NA,11.4564,268.649993896484,1,"AL","19867",""
"57","Lance Lynn","2520","STL","Cardinals",10.1933,9.9239,29.16,29.16,0,0,NA,166.728,712.818,163.282,86.1464,80.3957,25.1389,151.803,52.4698,NA,7.8781,4.33977,1.29403,8.19435,2.83232,2.89315,1.357,0.212962,0.073609,0.139352969825268,0.387589,0.250252,0.290504,0.717807,4.48005,2.11246,2.15674,NA,NA,NA,13.1899,310.220001220703,28,"NL","2520",""
"58","Kenta Maeda","18498","DET","Tigers",8.5852,8.97,24.3,34.3,0,0.6222,NA,145.405,613.28,137.515,71.1044,66.4104,20.7122,146.963,41.1768,NA,5.7789,4.11054,1.22892,9.0964,2.54868,3.56907,1.282,0.239634,0.0671419,0.172492161393166,0.37446,0.24282,0.292996,0.718712,4.05418,2.10688,2.07873,NA,NA,NA,10.8932,240.009994506836,6,"AL","18498",""
"59","Michael King","19853","SDP","Padres",9.3408,8.6848,24.3,41.3,0,0.6036,NA,149.088,635.26,135.035,69.4616,63.9812,18.4538,154.098,56.5101,NA,6.8297,3.86235,1.28478,9.30241,3.41134,2.72691,1.114,0.242574,0.0889559,0.15361849963665,0.442628,0.236109,0.291915,0.736732,4.07149,2.08041,2.20067,NA,NA,NA,10.9413,133.509994506836,29,"NL","19853",""
"60","Frankie Montas","14309","CIN","Reds",8.7522,9.2275,25.92,25.92,0,0,NA,149.584,639.249,147.834,78.9453,73.5287,23.8171,143.812,49.8371,NA,6.0594,4.42398,1.32147,8.65269,2.99854,2.88564,1.433,0.22497,0.077962,0.147008135914803,0.434524,0.253422,0.298316,0.722497,4.52315,2.07895,2.36385,NA,NA,NA,11.7089,329.700012207031,18,"NL","14309",""
"61","Nick Pivetta","15454","BOS","Red Sox",10.2186,10.5428,29.16,35.16,0,0.6322,NA,173.422,744.929,162.816,91.7833,86.1118,26.1675,188.281,67.5157,NA,6.7901,4.4689,1.32815,9.77114,3.50383,2.7887,1.358,0.252751,0.0906337,0.162116929888725,0.377112,0.242782,0.299552,0.715283,4.33064,2.07696,2.39059,NA,NA,NA,12.7876,162.860000610352,3,"AL","15454",""
"62","Jon Gray","14916","TEX","Rangers",10.1107,9.9642,29.16,29.16,0,0,NA,165.951,711.929,162.527,86.5772,80.628,24.4501,159.116,56.6283,NA,8.0476,4.3727,1.3206,8.62934,3.07112,2.80983,1.326,0.2235,0.0795421,0.143957898020744,0.421262,0.251102,0.29778,0.716928,4.42193,2.07141,2.08573,NA,NA,NA,12.958,309.149993896484,13,"AL","14916",""
"63","Brady Singer","25377","KCR","Royals",9.6015,10.7009,29.16,29.16,0,0,NA,169.339,733.388,180.097,89.8201,82.9803,20.9416,138.7,51.6811,NA,8.9781,4.41022,1.36872,7.37158,2.74673,2.68376,1.113,0.189122,0.070469,0.118652902543545,0.479288,0.267711,0.310191,0.701166,4.29921,2.06348,2.31928,NA,NA,NA,13.3887,439.529998779297,7,"AL","25377",""
"64","Bailey Ober","21224","MIN","Twins",9.401,9.4813,27.54,27.54,0,0,NA,155.312,656.986,151.602,77.9698,73.1712,24.7981,150.581,37.9567,NA,6.267,4.24013,1.22051,8.72585,2.19952,3.96717,1.437,0.229199,0.057774,0.171425100415945,0.340715,0.247408,0.289915,0.720666,4.24586,2.04145,1.99232,NA,NA,NA,12.409,124.360000610352,8,"AL","21224",""
"65","Steven Matz","13361","STL","Cardinals",8.8005,7.6224,22.68,34.68,0,0.6348,NA,135.145,567.565,128.553,63.8512,58.9483,17.5839,126.662,40.1076,NA,5.2318,3.92567,1.248,8.43511,2.67097,3.15807,1.171,0.223168,0.0706661,0.152502179145813,0.442371,0.246163,0.293584,0.727624,4.07848,2.0398,2.1926,NA,NA,NA,10.0728,386.010009765625,28,"NL","13361",""
"66","Seth Lugo","12447","KCR","Royals",9.0198,9.9343,27.54,27.54,0,0,NA,156.197,670.373,161.285,82.3265,76.428,20.7742,134.428,49.0673,NA,5.8886,4.40375,1.34671,7.74567,2.82724,2.73966,1.197,0.200527,0.073194,0.127332836389542,0.441707,0.262075,0.305316,0.706278,4.31829,2.02886,2.24457,NA,NA,NA,12.0573,260.570007324219,7,"AL","12447",""
