"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"221","José Caballero","23401","TBR","Rays",76.202,236.974,271.04,52.1859,34.7544,10.8996,0.982926,5.54896,32.9924,22.4067,25.2758,0.395122,60.5072,6.59409,1.72979,0.466637,3.43066,15.7553,3.61919,0.220218,0.310658,0.344757,0.655415,0.292374,0.0932548,0.223241,0.417731,0.124539,6.33524,0.270129,NA,NA,27.172,-5.85268,0.38,1.11318,1.11318,1.03373,-2.69476544857025,3.85560572147369,88.2747,NA,NA,NA,359.429992675781,0.06862745,"2B",12,"AL","23401",""
"222","Andrew Vaughn","26197","CHW","White Sox",139.451,525.792,579.559,136.772,88.6682,27.1627,1.0419,19.8988,66.2515,69.8172,40.0983,0.81916,113.266,8.89499,4.20076,0.572673,12.4022,0.154807,0.0525594,0.260125,0.320845,0.429285,0.75013,0.324029,0.0691875,0.195435,0.354019,0.16916,2.05408,0.294517,NA,NA,73.3374,2.72148,-0.68,-1.04561,-1.04561,1.02468,2.17494630813599,-11.5835759043694,104.638,NA,NA,NA,242.229995727539,0.05298013,"1B/OF",4,"AL","26197",""
"223","Tim Anderson","15172","MIA","Marlins",124.843,493.738,529.668,136.796,106.832,22.3089,1.40095,6.25391,60.1579,49.1303,26.002,0.242752,114.099,4.09232,2.63197,0.636939,13.8385,19.0225,5.09679,0.277062,0.317002,0.36592,0.682922,0.299605,0.0490912,0.215417,0.227889,0.0888578,5.12514,0.347171,NA,NA,56.2803,-8.2567,-4.64,0.600091,0.600091,1.02162,-8.89241182804108,1.09160375595093,85.5337,NA,NA,NA,313.519989013672,0,"SS",20,"NL","15172",""
"224","Josh Bell","13145","MIA","Marlins",140.909,518.671,593.929,131.816,86.2909,23.878,1.97402,19.6731,69.9239,72.3974,64.8748,2.33525,113.708,4.79037,4.61152,0.584854,14.5247,0.610438,0.215085,0.254142,0.339796,0.42158,0.761375,0.330803,0.10923,0.19145,0.570541,0.167438,2.47147,0.287618,NA,NA,78.4971,6.13031,-1.43,-1.15236,-1.15236,1.01768,3.59222197532654,-13.6219803094864,106.448,NA,NA,NA,282.779998779297,0.59731544,"1B",20,"NL","13145",""
"225","Colt Keith","sa3014474","DET","Tigers",116.2,436.259,477.935,107.15,68.3184,22.8774,3.45134,12.5025,52.5046,53.0933,35.293,1.37078,112.483,3.33583,2.48229,0.564616,7.8264,2.69746,0.962072,0.24561,0.305378,0.399848,0.705226,0.305141,0.0738449,0.235353,0.313762,0.154238,4.2244,0.301659,NA,NA,52.9807,-5.25288,0,-0.680057,-0.680057,1.00932,-5.11477309465408,-0.996227741241455,92.256,NA,NA,NA,285.170013427734,0,"2B/3B",6,"AL","sa3014474",""
"226","Bryan De La Cruz","19600","MIA","Marlins",138.365,516.956,562.677,137.389,89.9813,28.3986,1.78575,17.223,64.0974,69.6385,37.7506,0.763845,125.687,2.85277,4.61402,0.50376,10.3553,4.27428,1.19151,0.265765,0.316614,0.427556,0.744171,0.320375,0.0670911,0.223373,0.300355,0.161791,3.66472,0.317345,NA,NA,69.4935,0.934615,-2.15,-0.648338,-0.648338,1.00742,-1.02653723955154,-8.04126644134521,99.4574,NA,NA,NA,283.299987792969,0.00606061,"OF",20,"NL","19600",""
"227","Luis Urías","16622","SEA","Mariners",87.014,295.587,339.886,64.5168,41.3626,12.3564,0.682315,10.1155,37.1984,35.6307,34.6113,0.563398,78.4857,6.97787,1.97434,0.459021,6.18491,2.34064,0.744374,0.218267,0.312858,0.367351,0.680209,0.301179,0.101832,0.230918,0.440989,0.149084,3.36146,0.260343,NA,NA,36.5591,-4.85404,0.02,-0.480868,-0.480868,0.998762,-2.89094769954681,1.36280860379338,94.0821,NA,NA,NA,574.960021972656,0,"2B/3B/SS",11,"AL","16622",""
"228","Johan Rojas","24336","PHI","Phillies",95.45,321.659,347.709,79.4826,56.522,15.6469,2.42668,4.88697,41.6619,27.7513,16.1116,0.65604,74.3245,3.43616,1.81085,4.69148,5.90807,18.3462,3.44904,0.247102,0.288703,0.356414,0.645118,0.280975,0.0463363,0.213755,0.216773,0.109312,6.99987,0.305397,NA,NA,31.5664,-10.8,6.69,1.6324,1.6324,0.996907,-10.0122401714325,8.16299378871918,72.9672,NA,NA,NA,380.429992675781,0.01724138,"OF",26,"NL","24336",""
"229","Willi Castro","17338","MIN","Twins",103.559,365.981,403.666,90.06,60.6392,17.9628,2.42736,9.03065,51.0654,36.5993,25.9967,0.721682,95.6319,7.50105,2.56274,1.62436,5.66953,20.3232,4.72097,0.246078,0.307326,0.38245,0.689776,0.301004,0.0644015,0.236909,0.271841,0.136372,6.75433,0.307067,NA,NA,43.3609,-5.82341,0.55,1.35224,1.35224,0.995626,-3.01416480541229,-0.711683690547943,90.9725,NA,NA,NA,293.100006103516,0.0060241,"OF",8,"AL","17338",""
"230","Kyle Isbel","21614","KCR","Royals",110.646,378.17,413.843,90.4798,58.2481,20.4934,3.0691,8.66911,49.2337,40.0622,28.0004,0.612446,85.3809,4.14878,2.38953,1.13419,6.62061,13.4296,3.49896,0.239257,0.297132,0.378451,0.675583,0.293997,0.0676595,0.206312,0.327947,0.139194,6.32787,0.285543,NA,NA,42.0459,-8.37849,3.15,0.517274,0.517274,0.980293,-9.08276689052582,4.85750007629395,80.64,NA,NA,NA,533.789978027344,0.01111111,"OF",7,"AL","21614",""
