"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"393","Whit Merrifield","11281","PHI","Phillies",89,354,385,90,64,18,1,7,44,41,24,1,65,2,4,1,NA,15,4,0.254787,0.302652,0.370831,0.673483,0.293214,0.0616755,0.168912,0.365135,0.116044,5.25893,0.290632,0.183577,NA,38.865,-8.04504,-0.220008,0.444334,0.627911,0.206381,-8.35240769386292,-2.69500766694546,81.1716,NA,NA,NA,276.279998779297,0,"2B/OF",26,"NL","11281",""
"394","Trevor Larnach","21501","MIN","Twins",37,139,161,32,19,7,1,5,19,19,18,1,52,2,1,0,NA,1,0,0.226201,0.319753,0.388412,0.708165,0.30977,0.111387,0.321831,0.346104,0.162211,3.54273,0.315944,-0.0689281,NA,18.4664,-1.15056,-0.161329,-0.294831,-0.363759,0.204296,-0.93320232629776,-2.48632948100567,97.0482,NA,NA,NA,740.640014648438,0.04477612,"OF",8,"AL","21501",""
"395","Michael Stefanic","25353","LAA","Angels",13,49,56,13,10,2,0,1,6,5,5,0,7,1,0,0,NA,1,0,0.27149,0.354526,0.360474,0.715,0.319762,0.0977985,0.121492,0.80498,0.0889846,3.5913,0.301944,-0.00768211,NA,6.88781,0.0645316,0.0281,-0.17374,-0.181422,0.199416,-0.13030531257391,0.228100011125207,100.762,NA,NA,NA,999,0.04761905,"2B",1,"AL","25353",""
"396","Jake Alu","25569","WSN","Nationals",16,64,70,16,11,4,0,1,7,7,5,0,14,1,1,0,NA,1,0,0.256772,0.311513,0.386678,0.69819,0.303729,0.066831,0.195028,0.342675,0.129905,4.62018,0.304773,-0.0183562,NA,7.67768,-0.851408,0.482625,-0.0242348,-0.042591,0.191037,-1.05176382884383,0.582624979317188,88.3628,NA,NA,NA,748.799987792969,0,"2B/OF",24,"NL","25569",""
"397","David Fry","24934","CLE","Guardians",42,161,180,38,23,9,1,5,20,21,13,0,43,3,1,1,NA,1,1,0.235746,0.304888,0.396127,0.701015,0.305446,0.0741962,0.241656,0.307032,0.160381,3.85053,0.289698,-0.017514,NA,19.9549,-1.92836,-0.108417,-0.290675,-0.308189,0.186863,-1.41298681497574,-2.7584166303277,94.8661,NA,NA,NA,739.890014648438,0.03278689,"C/1B",5,"AL","24934",""
"398","Cade Marlowe","25505","SEA","Mariners",32,127,140,27,18,5,1,4,16,15,11,0,45,1,1,0,NA,5,2,0.215892,0.282072,0.359296,0.641368,0.280284,0.0761515,0.3195,0.238346,0.143404,6.52463,0.299283,0.0164959,NA,12.6294,-4.42882,1.69716,0.0792889,0.0957848,0.182067,-3.32636155188084,0.397158026695251,79.5996,NA,NA,NA,748.469970703125,0.03225806,"OF",11,"AL","25505",""
"399","Jake Cave","14477","COL","Rockies",47,182,203,46,27,10,2,6,25,26,16,0,54,2,1,1,NA,2,1,0.249672,0.316562,0.427956,0.744518,0.320883,0.0785259,0.265262,0.296031,0.178285,5.02012,0.318765,0.0553129,NA,25.1573,0.42292,0.94731,-0.321606,-0.266293,0.181994,-3.96349173784256,-1.12768971920013,85.2986,NA,NA,NA,999,0.01538462,"OF",19,"NL","14477",""
"400","Nathan Lukes","18123","TOR","Blue Jays",16,63,70,17,11,4,0,1,8,7,5,0,13,1,0,0,NA,1,0,0.261953,0.322902,0.379703,0.702606,0.306838,0.0735025,0.180393,0.407459,0.117751,4.07126,0.310058,-0.00458378,NA,7.85843,-0.670668,0.331,-0.12126,-0.125844,0.181816,-0.535208970308304,-0.0190000236034393,95.1193,NA,NA,NA,999,0.23076923,"OF",14,"AL","18123",""
"401","Tyler Nevin","17893","BAL","Orioles",21,81,91,20,13,4,0,3,10,11,8,0,19,1,1,0,NA,0,0,0.245469,0.319733,0.39063,0.710363,0.311415,0.0862854,0.211699,0.407586,0.14516,3.28274,0.28955,-0.0166657,NA,10.5619,-0.525969,-0.0212173,-0.171287,-0.187953,0.181372,-0.275692865252495,-0.996217330917716,99.1953,NA,NA,NA,999,0.25,"3B",2,"AL","17893",""
"402","Jake McCarthy","21622","ARI","Diamondbacks",13,50,56,13,9,2,1,1,7,6,4,0,12,1,0,0,NA,3,1,0.260769,0.325221,0.398879,0.7241,0.316148,0.0748174,0.207483,0.360595,0.13811,7.6165,0.318095,0.0571603,NA,6.71969,-0.103581,0.20762,0.188428,0.245588,0.17375,0.0268622487783432,-0.192379713058472,96.8472,NA,NA,NA,494.170013427734,0.01030928,"OF",15,"NL","21622",""
