"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"564","Ethan Roberts","24930","CHC","Cubs",1,1,0,16,0,1,NA,16,69,15,8,7,2,16,6,NA,1,4.21351,1.31496,9.00496,3.42641,2.62811,1.1639,0.231747,0.0881801,0.143566533923149,NA,0.241205,0.293408,0.719659,4.26773,0.0173201,0.0155116,NA,NA,NA,NA,999,17,"NL","24930",""
"565","Adrian Morejon","20039","SDP","Padres",2,2,0,48,0,4,NA,48,206,44,24,22,7,48,18,NA,2,4.1172,1.30287,8.91223,3.38588,2.63218,1.28848,0.230351,0.0875133,0.142837382853031,NA,0.239002,0.285552,0.72942,4.40064,0.0171142,0.0366054,NA,NA,NA,NA,749.900024414062,29,"NL","20039",""
"566","Oliver Ortega","21025","HOU","Astros",1,1,0,12,0,1,NA,12,51,11,6,5,2,12,5,NA,1,4.04336,1.31537,8.88536,3.51251,2.52963,1.1395,0.230559,0.0911433,0.139415428042412,NA,0.240803,0.292717,0.728957,4.24746,0.016981,0.00792081,NA,NA,NA,NA,999,21,"AL","21025",""
"567","José Quijada","19200","LAA","Angels",1,1,0,15,0,1,NA,15,64,13,8,7,2,17,7,NA,1,4.32751,1.33424,10.3953,4.22257,2.46185,1.30952,0.269195,0.109347,0.159848041832447,NA,0.229291,0.291056,0.718052,4.39028,0.0164925,0.00373893,NA,NA,NA,NA,999,1,"AL","19200",""
"568","John King","22051","STL","Cardinals",2,2,0,34,0,1,NA,34,147,37,17,15,4,22,10,NA,1,4.04379,1.37917,5.89913,2.70792,2.17847,0.951132,0.151242,0.069426,0.0818164274096489,NA,0.269924,0.300777,0.722771,4.33505,0.0163693,0.0276547,NA,NA,NA,NA,999,28,"NL","22051",""
"569","Landon Knack","sa3014518","LAD","Dodgers",1,1,0,20,0,1,NA,20,86,20,10,10,3,18,6,NA,1,4.39307,1.30857,7.95216,2.82764,2.8123,1.32696,0.205982,0.0732432,0.132738508284092,NA,0.252231,0.290911,0.712933,4.4462,0.0154859,0.0135813,NA,NA,NA,NA,749.77001953125,22,"NL","sa3014518",""
"570","Justin Hagenman","sa3008022","BOS","Red Sox",1,1,0,24,0,1,NA,24,104,25,13,12,3,21,8,NA,1,4.59878,1.36678,7.9466,2.92327,2.7184,1.25446,0.203094,0.0747107,0.128382839262486,NA,0.261251,0.304306,0.69689,4.37852,0.0153604,0.0118002,NA,NA,NA,NA,999,3,"AL","sa3008022",""
"571","Connor Cooke","sa3017822","TOR","Blue Jays",1,1,0,10,0,1,NA,10,43,9,5,4,1,11,4,NA,1,4.01927,1.27121,9.74533,3.3492,2.90975,1.191,0.251797,0.0865356,0.165261343121529,NA,0.23281,0.289698,0.725139,4.1253,0.0150552,0.0045563,NA,NA,NA,NA,999,14,"AL","sa3017822",""
"572","Phil Bickford","18519","NYM","Mets",1,1,0,12,0,1,NA,12,51,11,6,6,2,13,5,NA,1,4.28892,1.30133,9.68666,3.72716,2.59894,1.229,0.252587,0.0971887,0.155398666858673,NA,0.23347,0.290137,0.71434,4.26073,0.0150197,0.00199633,NA,NA,NA,NA,999,25,"NL","18519",""
"573","Josh Simpson","sa1053035","MIA","Marlins",1,1,0,17,0,1,NA,17,75,15,9,8,2,19,9,NA,1,4.16204,1.40063,10.2091,4.63942,2.20052,1.07453,0.257704,0.117111,0.140593290328979,NA,0.231964,0.298873,0.727144,4.29608,0.0141007,0.00427231,NA,NA,NA,NA,999,20,"NL","sa1053035",""
"574","Jake Odorizzi","6397","TBR","Rays",1,1,2,15,0,1,NA,21,92,22,12,11,3,18,7,NA,1,4.76218,1.3861,7.79812,3.17728,2.45434,1.49261,0.198441,0.0808531,0.117587924003601,NA,0.259658,0.294346,0.709768,4.84129,0.014041,-0.0229596,NA,NA,NA,NA,743.890014648438,12,"AL","6397",""
"575","Rob Zastryzny","15094","MIL","Brewers",1,1,0,12,0,1,NA,12,52,12,6,6,2,12,5,NA,1,4.30087,1.34697,8.73755,3.38318,2.58264,1.32152,0.222775,0.0862583,0.136516243219376,NA,0.246529,0.292148,0.727707,4.4792,0.0138947,0.012229,NA,NA,NA,NA,999,23,"NL","15094",""
