"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"494","Kevin Smith","20242","NYY","Yankees",28,79,86,17,10,3,0,3,9,9,5,0,27,1,1,0,1,2,1,0.211042,0.260846,0.361718,0.622564,0.268943,0.0570465,0.319051,0.1788,0.150676,5.05706,0.282961,NA,NA,6.92604,-3.51942,0,-0.000752534,-0.000752534,0.0723854,-3.13175066909753,0.944973528385162,69.5191,NA,NA,NA,999,0.01923077,"3B/SS",9,"AL","20242",""
"495","Chad Wallach","17161",NA,NA,19,56,62,11,7,2,0,2,6,6,5,0,19,1,0,0,1,0,0,0.199935,0.267892,0.331645,0.599536,0.264698,0.0754956,0.307902,0.245193,0.13171,1.9638,0.264886,NA,NA,4.8113,-2.77594,0,-0.103097,-0.103097,0.0694756,-2.89395253360271,1.47499990463257,62.5953,NA,NA,NA,999,0.03225806,"C",NA,NA,"17161",""
"496","Leo Jimenez","sa3006891",NA,NA,6,20,22,5,4,1,0,0,2,2,2,0,4,1,0,0,0,0,0,0.250755,0.324614,0.361236,0.68585,0.303919,0.0766422,0.190847,0.401591,0.110481,4.14557,0.300775,NA,NA,2.42195,-0.264715,0,-0.0194635,-0.0194635,0.0687558,-0.201868558302522,0.142206788063049,93.0961,NA,NA,NA,999,0,"2B/SS",NA,NA,"sa3006891",""
"497","James Wood","sa3016870","WSN","Nationals",36,133,147,31,19,7,1,4,16,16,12,0,47,1,1,0,2,3,1,0.231409,0.298745,0.38633,0.685075,0.298136,0.0791012,0.321128,0.246323,0.154921,5.12794,0.322065,NA,NA,15.4252,-2.46843,0,0.135897,0.135897,0.0685128,-2.66351217031479,-1.65120375156403,84.613,NA,NA,NA,999,0,"OF",24,"NL","sa3016870",""
"498","Austin Martin","sa3014454",NA,NA,10,35,39,8,6,2,0,0,4,3,3,0,8,1,0,0,1,1,0,0.237773,0.312165,0.336818,0.648983,0.289332,0.0777557,0.1991,0.390536,0.0990448,5.79979,0.290727,NA,NA,3.79413,-0.936468,0,0.123195,0.123195,0.0674309,-0.673137165606022,0.0302438214421272,82.8821,NA,NA,NA,999,0,"SS/OF",NA,NA,"sa3014454",""
"499","Austin Shenton","sa3009869",NA,NA,7,24,27,5,3,1,0,1,3,3,2,0,8,0,0,0,0,0,0,0.223672,0.30119,0.374842,0.676032,0.295652,0.0894631,0.301604,0.296625,0.15117,2.35439,0.304179,NA,NA,2.73239,-0.500746,0,-0.0435538,-0.0435538,0.0671238,-0.344119407236576,0.115709871053696,90.5466,NA,NA,NA,999,0,"1B/3B",NA,NA,"sa3009869",""
"500","Korey Lee","25543","CHW","White Sox",33,106,113,23,16,5,0,2,11,10,6,0,34,1,1,0,2,2,1,0.214216,0.261073,0.327651,0.588723,0.257506,0.0532227,0.296606,0.179439,0.113435,4.4492,0.289381,NA,NA,8.08923,-5.73595,-0.04,-0.0482001,-0.0482001,0.0659284,-5.68643753603101,2.49248453229666,58.5289,NA,NA,NA,699.02001953125,0,"C",4,"AL","25543",""
"501","Connor Norby","sa3017019","BAL","Orioles",11,29,32,7,5,1,0,1,3,3,2,0,8,0,0,0,1,0,0,0.243106,0.296869,0.371859,0.668728,0.291206,0.0635653,0.248485,0.255812,0.128753,4.58428,0.30661,NA,NA,3.15522,-0.717108,0,0.00202513,0.00202513,0.0632733,-0.562034605769441,0.116773225367069,85.1876,NA,NA,NA,999,0,"2B",2,"AL","sa3017019",""
"502","Dillon Dingler","sa3014528",NA,NA,7,26,28,6,4,1,0,1,3,3,2,0,9,0,0,0,0,0,0,0.216768,0.280469,0.357895,0.638364,0.279295,0.0663543,0.312485,0.212344,0.141127,3.49605,0.296157,NA,NA,2.50789,-0.910572,0.01,-0.0339036,-0.0339036,0.0629118,-0.8964470513165,0.574120352044702,74.342,NA,NA,NA,999,0,"C",NA,NA,"sa3014528",""
"503","Tommy La Stella","12371",NA,NA,20,59,66,14,10,3,0,1,6,7,5,0,10,0,0,0,1,0,0,0.237516,0.300452,0.348449,0.648901,0.285903,0.0777,0.150075,0.517742,0.110933,2.2912,0.265582,NA,NA,6.27031,-1.78225,-0.04,-0.118816,-0.118816,0.062856,-1.88678357005119,0.26895060390234,78.0462,NA,NA,NA,999,1,"2B/3B",-1,NA,"12371",""
"504","Pedro Pagés","sa3010339","STL","Cardinals",8,26,29,6,4,1,0,1,3,3,2,0,7,0,0,0,1,0,0,0.229646,0.294289,0.350585,0.644875,0.282678,0.0751053,0.249736,0.300738,0.120939,2.68772,0.291798,NA,NA,2.66452,-0.856779,-0.09,-0.0410233,-0.0410233,0.0624989,-0.865458499640226,0.507916659116745,76.9728,NA,NA,NA,999,0,"C",28,"NL","sa3010339",""
"505","Angel Martínez","sa3008762","CLE","Guardians",10,34,37,8,5,2,0,1,4,4,2,0,8,0,0,0,1,1,0,0.238254,0.293985,0.363164,0.657149,0.286513,0.064916,0.217839,0.298,0.12491,5.19768,0.291255,NA,NA,3.55921,-0.987401,0,0.0157727,0.0157727,0.0618409,-0.800518358126283,0.152870371937752,81.743,NA,NA,NA,999,0,"2B/SS",5,"AL","sa3008762",""
"506","Ben Gamel","12160","NYM","Mets",24,73,83,17,11,3,0,2,9,8,9,0,21,1,0,0,1,1,0,0.229501,0.31636,0.359152,0.675512,0.298407,0.105303,0.256674,0.410259,0.129651,4.68023,0.29743,NA,NA,8.70694,-1.37177,0.02,-0.0449195,-0.0449195,0.061144,-1.0965176038444,-1.10759268328547,89.738,NA,NA,NA,999,0.2,"OF",25,"NL","12160",""
"507","Jonathan Aranda","21837","TBR","Rays",64,204,229,49,32,10,1,6,24,25,19,1,57,4,1,0,5,1,0,0.237558,0.31343,0.381698,0.695127,0.304221,0.0849345,0.248847,0.341312,0.144139,2.90452,0.297794,NA,NA,25.2112,-2.69195,-0.16,-0.387584,-0.387584,0.06063,-1.35190096497536,-5.82079043984413,96.4857,NA,NA,NA,541.419982910156,0.4137931,"1B/2B",12,"AL","21837",""
"508","Andre Lipcius","25822",NA,NA,11,31,34,7,5,2,0,1,4,4,3,0,7,0,0,0,1,0,0,0.241193,0.306054,0.365499,0.671554,0.294435,0.0824426,0.20003,0.412151,0.124306,3.44036,0.286003,NA,NA,3.45019,-0.672771,0,-0.0404492,-0.0404492,0.0601517,-0.673594333231449,0.124331280589104,84.8964,NA,NA,NA,999,0.15384615,"3B",NA,NA,"25822",""
"509","Blake Perkins","19921","MIL","Brewers",21,61,69,14,9,3,0,1,8,6,7,0,19,1,0,0,1,2,0,0.221097,0.302659,0.352198,0.654857,0.289454,0.0985956,0.269658,0.365632,0.1311,5.92418,0.291757,NA,NA,6.78251,-1.66531,0.64,0.158725,0.158725,0.0601467,-1.6492263674736,-0.109007239341736,78.9512,NA,NA,NA,750.969970703125,0.02941176,"OF",23,"NL","19921",""
"510","Jake Cave","14477","PHI","Phillies",39,129,143,30,19,6,1,4,16,17,10,0,40,2,1,0,2,1,0,0.233978,0.299181,0.392669,0.69185,0.300401,0.0728835,0.283051,0.257492,0.158691,4.60841,0.304932,NA,NA,15.2478,-2.12877,0.14,-0.126551,-0.126551,0.0586405,-2.6017664372921,-1.66740737855434,85.9901,NA,NA,NA,999,0.01538462,"OF",26,"NL","14477",""
"511","Samad Taylor","22274","SEA","Mariners",12,37,41,8,5,2,0,1,5,3,4,0,11,0,0,0,1,2,0,0.221436,0.29612,0.349644,0.645764,0.284433,0.0878136,0.274772,0.319587,0.128209,6.60328,0.292909,NA,NA,3.88191,-1.16841,0.02,0.193214,0.193214,0.0562184,-0.677158072590828,-0.167330246418715,82.475,NA,NA,NA,736.820007324219,0,"2B/OF",11,"AL","22274",""
"512","Nasim Nuñez","sa3010695","WSN","Nationals",23,87,97,20,15,3,0,1,10,6,9,0,22,0,1,1,2,5,1,0.22797,0.299444,0.304926,0.60437,0.271537,0.0887145,0.226183,0.392225,0.0769564,6.19382,0.293565,NA,NA,8.03151,-3.76654,0,0.637596,0.637596,0.0551259,-3.34717601537704,0.602109014987946,66.7815,NA,NA,NA,749.900024414062,0,"SS",24,"NL","sa3010695",""
