"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"444","Josh Zamora","sa3020092","MIA","Marlins",107,352,379,88,66,17,0,5,39,36,16,0,62,8,1,2,13,1,1,0.25,0.297082,0.340909,0.637991,0.282107,0.0422164,0.163588,0.258065,0.0909091,2.33332,0.29021,NA,NA,34.7633,-11.4157,6.5,-0.915539,-0.915539,1.03412,-13.2154887914658,10.6776895523071,73.8034,NA,NA,NA,999,0,"2B/SS",20,"NL","sa3020092",""
"445","Brandon Lockridge","sa3006856","NYY","Yankees",94,341,374,79,56,14,2,7,42,40,24,0,107,4,2,3,7,19,3,0.231672,0.28841,0.346041,0.634451,0.279264,0.0641711,0.286096,0.224299,0.11437,6.73467,0.31441,NA,NA,33.4215,-12.1482,4.8,1.88654,1.88654,1.02848,-8.56719028949738,6.17419183254242,76.6726,NA,NA,NA,999,0,"OF",9,"AL","sa3006856",""
"446","Rob Refsnyder","13770","BOS","Red Sox",92,252,294,67,45,15,1,6,38,35,33,0,68,5,3,1,6,4,1,0.265873,0.358362,0.404762,0.763124,0.336378,0.112245,0.231293,0.485294,0.138889,4.40126,0.337017,NA,NA,40.2181,4.3959,1,-0.261603,-0.261603,1.02805,2.56142193078995,-2.24074077606201,108.014,NA,NA,NA,999,0.08536585,"OF",3,"AL","13770",""
"447","David Fry","24934","CLE","Guardians",105,336,372,80,48,20,2,10,41,45,26,0,90,7,2,1,9,2,1,0.238095,0.304582,0.39881,0.703392,0.306176,0.0698925,0.241935,0.288889,0.160714,3.99175,0.294118,NA,NA,41.5572,-3.76885,-1,-0.646193,-0.646193,1.02676,-2.70921277999878,0.366842985153198,95.3716,NA,NA,NA,741,0.03278689,"C/1B",5,"AL","24934",""
"448","Ryan O'Hearn","16442","BAL","Orioles",116,356,387,91,57,15,1,18,48,60,25,2,95,3,3,0,7,3,1,0.255618,0.307494,0.455056,0.76255,0.324123,0.0645995,0.245478,0.263158,0.199438,3.72489,0.296748,NA,NA,49.0013,1.84756,1,-0.461603,-0.461603,1.02594,3.24963223934174,-6.10978841781616,108.003,NA,NA,NA,407.290008544922,0.12389381,"1B",2,"AL","16442",""
"449","C.J. Cron","12546",NA,NA,109,389,434,101,61,22,1,17,52,64,35,2,107,7,3,0,12,0,1,0.25964,0.329493,0.452442,0.781935,0.335377,0.0806452,0.246544,0.327103,0.192802,2.07774,0.313433,NA,NA,59.0086,6.12826,0.9,-1.2003,-1.2003,1.02493,2.60609185695648,-7.07325088977814,107.32,NA,NA,NA,563.900024414062,0.12857143,"1B",NA,NA,"12546",""
"450","Carson Kelly","13620","DET","Tigers",90,269,304,60,39,13,0,8,32,29,29,1,67,3,3,0,8,1,1,0.223048,0.302632,0.360595,0.663226,0.291366,0.0953947,0.220395,0.432836,0.137546,2.11098,0.263959,NA,NA,30.2216,-6.81899,1.4,-0.761437,-0.761437,1.02246,-7.06001019477844,6.9849499464035,82.7084,NA,NA,NA,677.599975585938,0.01960784,"C",6,"AL","13620",""
"451","Trey Cabbage","21078","HOU","Astros",116,434,476,100,57,20,3,20,56,77,34,1,182,4,2,2,5,15,2,0.230415,0.291139,0.428571,0.719711,0.308324,0.0714286,0.382353,0.186813,0.198157,6.24541,0.34188,NA,NA,54.0245,-3.97333,3.9,1.43156,1.43156,1.02243,-1.07442677021027,-4.84485578536987,95.6062,NA,NA,NA,723.109985351562,0,"1B/OF",21,"AL","21078",""
"452","Austin Slater","16153","SFG","Giants",117,267,303,65,44,12,1,8,38,33,31,1,84,4,1,0,6,8,2,0.243446,0.330033,0.385768,0.715801,0.315031,0.10231,0.277228,0.369048,0.142322,5.07474,0.323864,NA,NA,36.0775,-0.841314,-1.4,0.154844,0.154844,1.01877,0.183425296097994,-0.286684274673462,100.076,NA,NA,NA,749.159973144531,0.05747126,"OF",30,"NL","16153",""
"453","Joe Rizzo","sa917934",NA,NA,103,406,438,99,66,22,1,10,51,46,28,1,101,2,2,0,12,1,1,0.243842,0.294521,0.376847,0.671368,0.291674,0.0639269,0.230594,0.277228,0.133005,2.82944,0.299663,NA,NA,43.6549,-9.71281,3.6,-0.954065,-0.954065,1.0145,-9.91706603765488,5.20934736728668,82.9216,NA,NA,NA,999,0,"3B",-1,NA,"sa917934",""
