"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"91","Taijuan Walker","11836","PHI","Phillies",9.56884,8.7714,26.8702,26.8702,0,0,NA,154.778,663.14,151.769,85.9469,79.0712,21.7234,121.486,55.577,0.943872,6.93786,4.59782,1.33964,7.06416,3.23168,2.18591,1.26317,0.183199,0.0838088,0.0993897989392281,NA,0.252685,0.284306,0.68613,4.7215,1.74546,1.55787,4.86193,0.128928,1.54939,9.57623,422.049987792969,26,"NL","11836",""
"92","Keaton Winn","23499","SFG","Giants",6.39062,7.52687,20.4526,27.3295,0.0157639,0.721561,NA,122.511,518.763,120.248,61.868,56.9186,14.4926,105.842,35.6683,0.905732,7.56353,4.18139,1.27267,7.77545,2.62028,2.96741,1.06467,0.204029,0.0687564,0.135272100567818,NA,0.252871,0.297738,0.693435,4.12365,1.734,1.68145,1.60217,1.4252,0.304394,7.30165,452.029998779297,30,"NL","23499",""
"93","Reese Olson","24968","DET","Tigers",6.83014,8.27937,24.3858,24.3858,0,0.00371642,NA,131.716,557.344,121.667,68.4587,62.982,16.9159,126.292,49.08,1.66571,4.62056,4.30349,1.29633,8.6294,3.35358,2.57319,1.15584,0.226596,0.0880605,0.138535991311073,NA,0.241574,0.290624,0.695533,4.23004,1.73306,1.6855,3.61385,-2.91782,0.687021,8.41541,296.320007324219,6,"AL","24968",""
"94","Brandon Pfaadt","27782","ARI","Diamondbacks",7.94856,8.64146,26.1326,26.1326,0,0,NA,145.58,606.383,141.804,76.0988,70.0109,24.1332,138.923,36.2785,0.621875,6.11978,4.3282,1.22327,8.58847,2.24281,3.82934,1.49196,0.229101,0.0598277,0.169273242354393,NA,0.251432,0.293495,0.706767,4.37526,1.71095,1.93415,4.54087,-1.49973,0.856642,7.958,198.050003051758,15,"NL","27782",""
"95","Garrett Whitlock","20191","BOS","Red Sox",6.85048,5.98888,15.2159,40.4011,1.68464,3.78476,NA,109.682,456.11,108.499,54.6181,50.2487,14.9739,107.061,25.2173,0.746808,4.31491,4.12317,1.21913,8.78495,2.06921,4.24555,1.22869,0.234727,0.0552879,0.179439350962639,NA,0.254348,0.307101,0.701518,3.88536,1.64927,1.60228,4.95273,-1.70805,0.275909,4.65451,372.5,3,"AL","20191",""
"96","Tanner Houck","19879","BOS","Red Sox",7.70859,8.28284,24.2321,29.4448,0.623541,0.470626,NA,130.43,559.908,125.68,67.2217,61.8439,15.4698,121.85,47.6103,2.16214,8.36981,4.26738,1.3286,8.40792,3.28523,2.55931,1.06745,0.217624,0.0850324,0.132592037320137,NA,0.249401,0.300621,0.699511,4.21608,1.64158,1.97567,1.33891,-0.0769865,0.839985,5.80649,401.579986572266,3,"AL","19879",""
"97","Cristian Javier","17606","HOU","Astros",9.6121,7.44993,28.3299,28.3299,0,0.171876,NA,157.052,657.274,132.985,81.7369,75.198,25.9293,166.428,61.5718,0.612682,7.26683,4.30929,1.23881,9.53731,3.52842,2.70299,1.4859,0.253209,0.0936774,0.15953204035759,NA,0.225998,0.27029,0.712896,4.59689,1.62042,1.8,4.48303,-0.0236089,1.15191,9.7767,179.270004272461,21,"AL","17606",""
"98","Jameson Taillon","11674","CHC","Cubs",8.17913,8.34531,25.6025,25.6025,0.129119,0,NA,142.607,598.764,142.237,77.8983,71.6664,23.2236,123.352,37.5781,0.564869,5.30743,4.5229,1.26091,7.78478,2.37157,3.28254,1.46565,0.20601,0.0627594,0.143250785768032,NA,0.255878,0.290771,0.69189,4.54432,1.60896,1.46046,1.83443,-0.203701,1.04639,8.56276,324.690002441406,17,"NL","11674",""
"99","Logan Allen","27589","CLE","Guardians",7.90588,8.00924,25.0586,25.0586,0,0,NA,136.979,579.54,128.946,68.2667,62.8054,19.1441,129.906,49.3559,0.882158,3.99872,4.12654,1.30168,8.53529,3.24286,2.63203,1.25784,0.224154,0.085164,0.138989947736263,NA,0.245059,0.291148,0.726304,4.34371,1.59837,1.84366,1.99091,-2.08631,0.725032,8.9377,343.309997558594,5,"AL","27589",""
"100","Jordan Hicks","19618","SFG","Giants",5.95463,6.55502,17.0441,32.8771,0.271602,1.72601,NA,102.426,440.974,89.2583,47.3704,43.5807,9.36202,111.393,48.0989,1.27724,6.27288,3.82936,1.34104,9.78791,4.22636,2.31592,0.822624,0.252607,0.109074,0.143532909452915,NA,0.230879,0.300535,0.724238,3.8607,1.59517,1.74731,3.80573,-1.01278,0.621447,4.84293,324.480010986328,30,"NL","19618",""
"101","Edward Cabrera","21690","MIA","Marlins",7.83573,8.52194,24.7216,24.7216,0,0,NA,128.935,555.357,108.446,62.8331,57.8065,15.4884,139.485,64.9205,0.475812,8.07796,4.03503,1.3446,9.73638,4.53161,2.14855,1.08113,0.251163,0.116899,0.134263895452023,NA,0.224824,0.283939,0.728714,4.35152,1.56471,2.14117,2.08117,0.498896,0.958268,7.35086,292.420013427734,20,"NL","21690",""
"102","Kyle Hendricks","12049","CHC","Cubs",7.69066,8.32338,24.5086,24.5086,0,0,NA,139.944,594.19,148.634,77.3971,71.2053,20.6701,99.4495,33.7748,0.788134,5.94195,4.5793,1.30344,6.39572,2.1721,2.94448,1.32932,0.16737,0.0568419,0.11052805185318,NA,0.268064,0.294608,0.684246,4.60531,1.55143,1.36784,3.44732,-0.24997,1.02704,9.13167,438.790008544922,17,"NL","12049",""
"103","Ryan Pepiot","26221","TBR","Rays",8.59717,7.28445,23.6995,27.3139,0,0.25746,NA,132.456,554.159,115.22,63.8098,58.705,20.0749,132.036,45.1624,0.833505,7.99232,3.98883,1.21083,8.97146,3.06865,2.92358,1.36403,0.238264,0.0814973,0.156766764819622,NA,0.229978,0.272706,0.730075,4.43554,1.52885,2.11659,6.39567,0.162208,0.493658,7.64927,186.809997558594,12,"AL","26221",""
"104","Michael Wacha","14078","KCR","Royals",8.1184,7.1513,23.7997,23.7997,0,0,NA,133.342,564.335,132.956,71.529,65.8067,20.2778,112.247,40.0456,0.448137,4.64243,4.44167,1.29743,7.57621,2.70291,2.80299,1.36867,0.198902,0.0709606,0.127941243350506,NA,0.255858,0.291066,0.701685,4.55382,1.5144,1.41173,5.46699,1.37255,0.884825,8.92745,288.940002441406,7,"AL","14078",""
"105","Max Scherzer","3137","TEX","Rangers",5.41739,4.01276,14.0377,14.6027,0,0,NA,80.59,329.539,70.3472,37.8886,34.8575,13.1062,91.0132,21.7989,0.244769,3.6816,3.89277,1.14339,10.164,2.43443,4.17512,1.46365,0.276184,0.0661499,0.210033997893333,NA,0.231361,0.286293,0.735222,4.05906,1.49101,1.48512,3.82662,-1.25128,0.641484,6.60762,309.059997558594,13,"AL","3137",""
"106","Shane Baz","22264","TBR","Rays",5.73838,4.59557,16.975,20.5987,0,0.56531,NA,86.8011,358.825,75.5474,40.2088,36.9921,11.6907,93.4314,27.5975,0.669887,3.95716,3.83554,1.18829,9.68746,2.86145,3.3855,1.21215,0.260381,0.0769107,0.183470733463764,NA,0.230841,0.287451,0.725254,3.94374,1.4772,1.60074,4.03086,-0.998681,0.477318,5.37344,256.790008544922,12,"AL","22264",""
"107","Edwin Díaz","14710","NYM","Mets",3.32697,2.49792,0,60.427,33.0487,0.745309,NA,61.952,248.24,43.6874,20.2952,18.6715,5.73604,96.8222,21.3385,0.965859,3.55282,2.71248,1.04962,14.0657,3.09992,4.53744,0.833295,0.390035,0.0859593,0.304075911641121,NA,0.195602,0.314193,0.784813,2.53833,1.44163,1.40858,3.32867,-0.378424,2.0717,0,43.8899993896484,25,"NL","14710",""
"108","Trevor Rogers","22286","MIA","Marlins",5.82829,7.4585,19.9959,24.682,0,0.375722,NA,104.463,445.043,98.3112,53.2815,49.019,12.9508,105.218,37.0531,0.759842,6.73429,4.22321,1.29581,9.065,3.1923,2.83965,1.11577,0.236422,0.0832575,0.153164640069008,NA,0.245009,0.301535,0.700166,4.10975,1.43458,1.45349,3.97796,-1.35173,0.272349,6.09596,337.450012207031,20,"NL","22286",""
